partida	titulo	ley	rubrica	texto
1	1	9	Como deuen obedecer las leyes. Ley .ixª.	Todos los omnes deuen seer tenudos de obedecer las leyes. & mayormientre los Reyes. por estas razones. La primera por que son por las leyes onrrados & guardados. La segunda por que los ayudan a complir iusticia & derecho. lo que ellos son tenudos de fazer. La tercera por que ellos son fazedores dellas. & es derecho que pues que las ellos fazen. que ellos las obedezcan primeramientre. Otrossi el pueblo las deue obedecer por otras tres razones. La primera por que son mandamiento de sennor. La segunda por que les tuellen danno. La tercera por que les aduzen pro.
1	1	10	Cuemo se deuen guardar las Leyes. Ley .xª.	El Rey deue guardar las leyes como a su onrra. & a su fechura. & el pueblo cuemo a su uida. & su guarda. E por esto todos son tenudos de las guardar. tanbien los de las ordenes cuemo los seglares. tanbien los altos cuemo los baxos. tanbien los ricos cuemo los pobres. tanbien las mugieres como los uarones.
1	1	11	Que ninguno no se puede escusar por dezir que no sabe las leyes. Ley .xiª.	Bien assi cuemo del saber uienen todos los bienes. & los pros que pueden seer. otrossi del no saber uienen todos los males & todos los dannos & por essol llaman nesciedat. Ca por el saber connosce omne a dios. & entiende comol a de amar. & de guardar. Otrossi connosce las otras cosas. & sabe que es lo que a de fazer a cadauna. E esto faze al omne seer acabado; & complido de todo bien. & estremal de todas las otras cosas que no an este entendimiento. E por el no saber. yerra el omne contra dios en non conoscer le ni saber le guardar. & yerra otrossi contra todas las otras cosas. ca no entiende lo que a de fazer a ninguna dellas. E el que assi uiue. dezimos que faze uida de bestia & aun peor. Ca la bestia faze; segund su sentidol abonda. Mas el omne que non quiere saber; non quiere llegar a quanto podrie alcançar por su entendimiento. E pues que tanto bien uiene del saber. & tanto mal del non saber. bien semeia que el que non quiere saber; no ha sabor de bien fazer. E pues que los omnes naturalmientre cobdician saber todas las cosas. & mas aquellas que son a su pro; bien tenemos que todos los de nuestros Regnos & de nuestro sennorio. deuen cobdiciar a saber estas leyes deste Libro que son a pro & a onrra dellos. E ninguno non puede nin deue escusar se; por dezir que las no sabe. Ca si el por si no las pudiere saber; deue las aprender daquellos que las sopieren. E qui esto no fiziere. si errare no puede seer escusado de no recebir la pena que las leyes mandan.
1	1	12	Quales deuen seer escusados magar no sepan las leyes. Ley .xijª.	En la ley ante desta dixiemos que todos los omnes de nuestro sennorio se deuen trabaiar de saber estas leyes. & los que las no sopiessen que se no podrien escusar de la pena en que cayessen; faziendo contra ellas. empero razones y ha en que algunos omnes se podrien escusar de no caer en la pena del danno que les podrie auenir en razon de sus cosas. por mingua de no saber las leyes. assi cuemo los caualleros. & los menores de .xxv. annos & los aldeanos simples & desentendudos que se trabaian de las lauores de la tierra. & otrossi las mugieres en los casos sennalados que son escriptos en este nuestro Libro. Ca los caualleros se podrien escusar del danno sobredicho; por que no son tenudos de saber leyes. mas uso & fecho de armas. & cosas que pertenescan a esfuerço de caualleria. ¶ E otrossi los menores de .xxv. annos; por razon de su edat que es liuiana & no complida. ¶ E los aldeanos simples por que usan siempre entre gentes desentendudas o no son los sabidores del derecho. & todo su entendimiento es en saber labrar las heredades. E otrossi las mugieres se pueden escusar por razon que son de flaca & de liuiana natura. & aun por que les no cae de aprender leyes en escuelas nin de usar pleytos amenudo entre los uarones. ¶ Empero si qualquier destos sobredichos fiziesse algun yerro que fuesse atal. que segund el entendimiento que los omnes han naturalmientre deuiesse entender que era mal de la fazer; assi cuemo traycion. o aleue o adulterio. o omicidio. o furto. o robo o fuerça. o otro yerro semeiante destos. no se podrie escusar de la pena que mandan estas nuestras leyes.
1	1	13	Por mostrar a los omnes razones derechas. por que el sobredicho Rey don alfonso ouo poder de fazer estas leyes. Ley .xiijª.	Por fazer entender a los omnes desentendudos que nos el sobredicho rey don Alffonso auemos poder de fazer estas Leyes. tan bien cuemo los otros que las fizieron ante de nos o mas; queremos lo mostrar por todas estas maneras. por razon. & por fazanna. & por derecho. ¶ Por razon que si los Emperadores & los Reyes que los emperios & los regnos ouieron por elecçion pudieron fazer Leyes en aquello que touieron cuemo encomienda; quanto mas nos que auemos el Regno por derecho heredamiento. ¶ Por fazanna; ca no tan solamientre los Reyes de espanna que fueron antiguamientre las fizieron; mas Comdes & iuezes. & adelantados que eran de menor guisa. & fueron guardadas fasta en este tiempo. E pues que estos las fizieron que auien mayorales sobre si; mucho mas las podemos nos fazer. que por la merced de dios no auemos mayor sobre nos en el temporal. ¶ Por derecho; ca lo podemos prouar por las leyes romanas. & por el derecho de sancta Eglesia. & por las Leyes de Espanna que fizieron los godos. en que dize en cada una destas; que los Emperadores & los Reyes an poder de fazer Leyes. & de ennader en ellas. & de minguar en ellas. & de camiar las cada que mester fuere. Onde por todas estas razones auemos complidamientre poder de fazer Leyes. E por ende queremos començar en el nombre de dios.
1	2	1	Titulo segundo de la sancta Trinidat et de la fe catholica. .Ley primera.	La primera cosa que mandamos & queremos que sea tenuda & guardada sobre todas las otras; es esta. que todo xpistiano se esfuerce de connoscer dios. Ca pues quel connosciere estoncel sabra amar & temer. & dios amara otrossi a el et auer la mercet. E la derecha carrera pora connoscer le es que firmemientre crea & tenga. que uno solo es uerdadero dios padre fijo & spiritu sancto. que fizo angelos & ancangelos de cielos & sol & luna. & estrellas & mar & tierra & aues & bestias & pescados. & todas las otras cosas que en cielo son. & so el cielo. & en tierra. & so la tierra. E fizo el omne despues de todo. & diol poder que se siruiesse daquellas cosas que el fiziera. E fizo angelos buenos & limpios & claros. mas que cielo ni sol ni ninguna estrella. quel siruiessen & quel obedeciessen & quel acompannassen. E como quier que el no ouiesse mester companna. que quanto en si no era solo; fizo esto por dar a entender al omne que el fizo. en quien metio entendimiento del su saber que todos los sus fechos eran ordenados & complidos. & que el omne otrossi ordenada mientre fiziesse sus obras. E entre aquellos angelos que el fizo tan nobles & tan claros; fizo a Lucifer mas claro & mas fremoso que a los otros. E quando se uio tal orgullecio & cogio soberuia. & quiso se egualar con el. Et que esta traycion ouo pensado; assi cuemo nuestro sennor lo auie fecho mas fremoso que a todas las otras creaturas; assi lo fizo el mas feo. E cuemo fiziera en cielo el mas onrrado que los otros; assi lo derribo en el jnfierno mas desonrado. con todos aquellos que con el se otorgaron. E despues que esta iusticia ouo fecha deste angel soberuio; quiso dar pena al omne por el pecado que fiziera. por que nol obedeciera. & se le desmandara. & comiera del fructo daquel aruol que el le defendiera. E este fue adam el primero omne. E por este atreuimiento que fizo passando el mandamiento de nuestro sennor; assi cuemol pusiera en parayso terrennal que es el mas uicioso logar del mundo; saco lo dende. & diol mayor trabaio & mayor lazeria que a todas las otras creaturas. en cuydados en pensares en enfermedades & en dolores. E sobre todo esto; quiso que muriesse con mayor pena & con mayor coyta. & con mayor dolor que otra cosa uiua; el & eua. quel dio por mugier. quel fue conseiador deste pecado. & todos los que dellos uiniessen. En esta manera escarmento dios el yerro que el angel & el omne fizieron. E este uerdadero dios que dicho auemos; que es padre & fijo & spiritu sancto; tres personas & un dios. por emendar el yerro que el omne fiziera contra el assi cuemo sobredicho es; enuio su fijo en el mundo. que prisiesse carne de sancta Maria. & fue concebido de spiritu sancto. E esta gloriosa sancta maria fue uirgen ante que nuestro sennor naciesse della. & quando nascio & despues que fue nascido. & es sancta complida & beneyta complida sobre todas las mugieres que fueron & son. & seran. E desta incarnacion fue mandadero; el angel gabriel. Onde aquel que nascio de sancta maria. fue complidamientre dios & omne. & fue llamado ihesu xpisto. el qual por amansar la sanna del padre que auie contral linnage de los omnes. por el yerro que fizieron. & por que se le desmandaron assi cuemo sobredicho es. & por ganar nos perdon del padre; sufrio lazerio en este mundo cuemo otro omne. & mas que otro omne; quanto era mayor el su sentido. & el era sin culpa E andido predigando por el mundo. & mostrando la creencia uerdadera; por que nos pudiessemos saluar. E aun por auer mayor debdo de nos dar uida perdurable en el sancto parayso; dexosse prender & denostar. & ferir. & desonrrar. & fue açotado. & coronado de corona de espinas. E fizieron le leuarla cruz a cuestas. & fue puesto en ella. & ouo las manos & los pies enclauados. & dieron le a beuer fiel & azedo. & fue ferido de lança en el costado. En tal manera recibio muerte por nos sacar de infierno. & dar nos el bien de parayso. E demientre que la carne fue muerta; en alma descendio a los infiernos. & saco dent sus sanctos & sus fieles. E el su cuerpo fue metido en monumento; cuemo otro omne muerto. & a tercer dia resucito en carne. & mostrosse a sus discipulos muchas uegadas. & comio & beuio con ellos. por quel uiessen et fuessen ciertos que el su resucitamiento no era por semeiança; mas de uerdat. E despues confirmo los en la su fe. & en la su creencia. E desi subio a los cielos uisible mientre en cuerpo & en alma. E despues desto enuio el spiritu sancto sobre sus discipulos & fizo les entender todos los lenguages. por que pudiessen predicar por el mundo. & fazer entender a los omnes la su fe & la su ley sancta. E esta en los cielos a la diestra del padre poderoso. con el spiritu sancto. Et este ihesu xpisto uerna en la fin deste mundo. & resucitaremos todos. & dara iuyzio sobre los buenos & sobre los malos. & a aquel iuyzio seremos todos en los cuerpos & en las almas que agora traemos. & dara cadauno razon de lo que fizo. & iran los buenos al su sancto parayso a gloria sin fin. & los malos iran a infierno. & a pena perdurable. E esta es la nuestra sancta fe catholica. & ninguno que asi no la crouiere; no puede seer saluo.
1	2	2	Que poder dio nuestro sennor ihesu xpisto a sant Pedro. Ley .ijª.	Todo xpistiano deue creer que nuestro sennor ihesu xpisto; es dios & omne. & ha poder de perdonar los pecados. & quando andaua por la tierra predicando; que fizo cabdiello a sant pedro; sobre todos los apostolos. & diol las llaues de los regnos de los cielos. en tal manera que quanto el soltasse en tierra; que fuesse suelto en cielo. & quanto legasse en tierra; que fuesse legado en cielo. E este poder ouo sant pedro mientre que fue uiuo. & ouieron lo quantos apostoligos fueron despues del. & auer lo an quantos seran daquiadelante. ellos & los arçobispos. & los obispos. & los otros prelados de sancta Eglesia que han poder del apostoligo. ca tienen logar de nuestro sennor ihesu xpisto en tierra en guardar la fe. & en ensennar la. Onde qualquier xpistiano que contra ella uiniesse. o no la quisiesse creer assi cuemo sobredicho es; en esta ley & en la que es ante della es herege. & mandamos que aya aquella pena que es puesta contra los hereges.
1	3	1	Titulo tercero de los articulos de la fe. Ley .iª.	Cuemo quier que en esta sobredicha ley en que fabla de nuestra creencia. se puedan entender los articulos de la fe. que quiere tanto dezir cuemo mienbros della; que ha mester que todo xpistiano sepa & crea pora connoscer dios & amar le. & pora saluar se. & pora guardar se de la pena que es puesta contra los hereges; & pora connoscer qui yerra en la fe; pero por que los omnes sepan ciertamientre quantos son & quales. queremos lo aqui mostrar. E dezimos que son .xiiij. E los siete fablan de la diuinidat; cuemo que es dios. & los siete de la humanidat; segund que es omne.
1	3	2	Quantos & quales son los Articulos de la diuinidat. Ley .iiª.	Los siete articulos de la diuinidat son estos. El primero creer en dios que es uno. El segundo creer en el padre. El tercero creer en el fijo. El quarto creer en el spiritu sancto. E estas tres personas son un dios. El quinto es creer que este dios fizo el cielo & la tierra. El sexto es creer que sancta Eglesia es una catholica. que quier tanto dezir cuemo cosa sancta complida & comunal. en que todos los fieles xpistianos han parte en el bien que se en ella faze. & o perdona dios los pecados. & fueras della no puede ninguno auer perdon; nin seer sabio. El septimo es creer que sera resurrecion. que quier tanto dezir cuemo que resucitaremos todos en nuestros cuerpos & en nuestras almas.
1	3	3	Quales son los articulos de la humanidat. Ley .iijª.	Los otros articulos de la humanidat son siete. El primero es que nuestro sennor ihesu xpisto fue concebido de spiritu sancto. El segundo que nascio de sancta maria uirgen. El tercero que priso muerte en poder de pilato. El quarto que descendio a los infiernos. El quinto que resucito de muerte. El sexto que subio a los cielos. & sie a la diestra de dios padre. El septimo que uerna yudgar uiuos & muertos. Estos son los .xiiij. articulos de la fe que todo xpistiano deue creer. E si algun xpistiano qualquiere clerigo o lego de grant guisa o de pequenna. uaron o mugier non quisiesse creer todos estos articulos. o los contradixiesse todos o algunos dellos; es herege connosçudo. & mandamos que aya la pena que es puesta contra los hereges.
1	4	1	Ley .iª. Titulo quarto de los sagramientos de sancta Eglesia	Pora connoscer dios & ganar su amor; todo xpistiano conuiene que aya en si dos cosas. La una es de creencia de los articulos de la fe que deue creer. La otra es de fecho de los sagramientos de sancta Eglesia que deue recebir. Ca bien assi cuemo alma & cuerpo es omne complido & otrossi dios & omne es ihesu xpisto; assi el que cree los articulos de la fe. & recibe los sagramientos de sancta eglesia; ha el nombre de xpistos. & es xpistiano acabado. E pues que en el titulo ante deste fablamos de los articulos de la fe; queremos dezir en este de los sagramientos que son siete. E destos conuiene en todas guisas. que todo xpistiano reciba los cinco; podiendo los auer. E el primero dellos es babtismo. El segundo confirmacion. El tercero penedencia. El quarto comunion. El quinto uncion que fazen a los omnes enfermos. ¶ E los otros dos son de su uoluntad. Ca no deue ninguno seer apremiado que los reciba si no quisiere. E el uno dellos es; orden. E el otro es casamiento. E de cadauno destos sagramientos; diremos apartadamientre por si; que uertud ha; & como se deue fazer. ¶ Onde todo xpistiano deue creer que en estos sagramientos se saluan los xpistianos. E qui esto no crouiesse o lo negasse; es herege. & mandamos que reciba la pena que es puesta contra los hereges.
1	4	2	Por que son en sancta eglesia siete los sagramientos. & no pueden seer mas ni menos. Ley .ijª.	Siete sagramientos auemos dicho que son en sancta eglesia. & que non pueden seer ni mas ni menos. E agora queremos mostrar por que razon es esto. segund lo departieron los sanctos padres; que dixieron. que del pecado que fizo adam; nascieron dos males a los omnes. E destos el uno fue de culpa; & el otro de pena. E el de culpa; departesse en tres maneras. & el de pena en quatro. E nos queremos primero fablar de las tres. E dezimos que la primera dellas es; el pecado de la nascencia de los omnes. a que llaman en latin original. E por essol llaman assi; por que todos los omnes nascen con este pecado. por que uienen del linage de adam. Ca bien assi cuemo quando alguno fiziesse grand traycion contra su sennor; cadrie en pena & en culpa; el & todos los que descendiessen del; assi por el pecado de adam cayeron en culpa todos los que del uinieron. E pora esta culpa toller; es el sagramiento del babtismo. ca ella allimpia & la tuelle. ¶ La segunda manera de culpa; es de pecado mortal. que fazen los omnes depues del babtismo. E pora toller esta; es el sagramiento de la penedencia. Ca si los omnes pecan ante que sean babtizados; desfazen se aquellos pecados por el babtismo. Mas si despues; non se pueden toller; si non por confession. ¶ La tercera manera de culpa; es de pecado uenial. E contra esta es puesto el sagramiento de la uncion; que fazen a todo xpistiano al hora de la muerte. Ca por este se desatan; todos los pecados ueniales. ¶ El mal de pena que dixiemos de suso que uiene a los omnes; se departe en quatro maneras. E la primera pena dellas es. de no saber. E contra esta fue establecido; el sagramiento de la orden de sancta Eglesia. que es en la clerizia. Ca alli ol dan las llaues de ligar & de soluer; allil dan carrera pora seer sabio & entendudo. por que pueda bien usar dellas. & lo sepa fazer derechamientre; segund que conuiene. & por que sepa entender la ley & mostrar la a los otros. ¶ La segunda manera de pena; es flaqueza de uoluntad de los omnes. que non pueden contrallar a las temptaciones que les da el diablo; por pecar. E contra esta es puesto; el sagramiento de la confirmacion que faze el obispo con crisma en la fruente a cada un xpistiano depues del babtismo. E por essol dizen confirmacion; por que confirma al xpistiano en la fe. el da esfuerço pora guardar se de pecar. ¶ La tercera manera de pena; es cobdicia que ha omne en si pora complir su uoluntad segund le demanda su carne naturalmientre. E contra esta fue puesto; el sagramiento de casar. ¶ La quarta manera; es maldat que han los omnes en si naturalmientre. pora querer ante fazer mal; que bien. E por esto se fazen sieruos del pecado. Onde contra esta es; el sagramiento del cuerpo de nuestro sennor ihesu xpisto. Ca el que lo recibe cuemo deue; confirmal en fazer bien. & dal esfuerço de no pecar. E por estas razones que dixiemos. son los sagramientos siete; & non pueden seer mas ni menos.
1	4	3	Que cosa es el babtismo & quando fue estableçudo. & por que palabras se faze. & en que manera. Ley .iijª.	Babtismo es cosa que laua al omne de fuera & sennala el alma de dentro. E esto es por la fuerça de las sanctas palabras del nombre derecho & uerdadero del nuestro sennor dios. que es padre & fijo & spiritu sancto. que se ayuntan con el agua; quando fazen el babtismo. Ca tan grand es la uertud destas palabras. que tanniendo el agua de fuera al cuerpo; laua se el alma por ende de dentro. E fue establecido; quando nuestro sennor ihesu xpisto quiso seer babtizado de sant iohan babtista en el Rio que dizen iordan. E esto fizo el por dar exiemplo a los omnes. que por babtismo se deuen saluar. E despues mando lo fazer a sus discipulos; quando les dixo ide por todel mundo & preigad & babtizad todas las gentes. en el nombre del padre & del fijo & del spiritu sancto. E por estas palabras que les dixo. en que les nombro el su sancto nombre; les mostro la manera de como lo fiziessen. E por ende qualquier que a otro ouiere de babtizar; deue dezir assi. yo te bateo en el nombre del padre & del fijo & del spiritu sancto amen. E ninguna destas palabras non deue dexar; pora seer el babtismo complido. ¶ Otrossi nuestro sennor ihesu xpisto nos dio exiemplo en su babtismo; que ningun omne non se puede assi mismo babtizar. mas deue lo recebir por mano dotri. E esto fue quando el que era sancto complido; quiso seer bateado por mano de sant iohan.
1	4	4	Quantas maneras son de babtismo. Ley .iiijª.	Agua es la primera de las tres maneras; en que se faze el babtismo. E por esta dixo nuestro sennor ihesu xpisto en el euangelio. que el que no nasciesse de agua & de spiritu sancto otra uez; que no podrie entrar en el regno de los cielos. ¶ Ca sin dubda ninguna. el que es babtizado; a tal es cuemo si nasciesse nueuamientre sin pecado ninguno. ¶ Otra manera y a de babtismo que llaman de spiritu sancto. E esta es quando mete dios en coraçon de alguno que se babtize en agua. & non puede fallar qui lo batee. Onde si muriere con tal entencion cuemo esta; es saluo. tan bien cuemo si fuesse babtizado. Ca la buena uoluntad magar non se cumpla de fecho. pues que no fica por el que la a; assi deue seer contada cuemo si la cumpliesse. ¶ La tercera manera de babtismo; es de sangre. E esta es quando alguno cree en ihesu xpisto. & ante que pueda seer babtizado; matan le. Ca este tal batea se en su sangre misma. E este exiemplo auemos de muchos martires que creyen en nuestro sennor. & ante que se pudiessen batear matauan los.
1	4	5	Que uertud ha el babtismo. & cuemo deuen fazer al que dubdaren si es bateado. Ley .vª.	Uertud muy grand a el babtismo. Ca por el perdona dios todos los pecados. & no ha por que fazer penedencia de los pecados que fizo ante del babtismo; aquel que se babtiza. Pero si el que se babtiza es de edat; deue se doler en su coraçon de los pecados que fizo & repentir se. ¶ Mas si alguno recibe babtismo por enfinta. demostrando por palabra que quiere seer xpistiano. & en la uoluntad no lo teniendo assi; atal cuemo este no se le perdonan los pecados por el babtismo. fueras ende quando tuelle aquel enganno de su coraçon. ¶ Aun ha otra uertud el babtismo. Ca qualquier que lo de xpistiano o judio o moro o gentil o herege. baron o mugier. diziendo aquellas palabras que dixiemos en la tercera ley ante desta; uale el babtismo a aquel que lo recibe. & saluasse por el. Pero estos non lo deuen fazer; si no en hora de muerte. mas si lo fizieren uale. ¶ Otrossi touo por bien sancta eglesia; que si fuesse dubda de alguno si era babtizado o no; quel deuen batear en esta manera. diziendo si eres bateado; no te bateo otra uez. mas si no lo eres; yo te bateo en el nombre del padre & del fijo & del spiritu sancto amen.
1	4	6	De los que an entendimiento & se quieren batear. que deuen creer en la fe; pora saluar se. & que deuen responder por si mismos. Ley .viª.	Todos aquellos que ouieren entendimiento. & se quisieren babtizar. primeramientre deuen creer que por aquella fe de nuestro sennor ihesu xpisto a que uienen & por el babtismo que recibran; seran saluos. assi cuemo el mismo lo mostro por el euangelio quando dixo. Qui crouiere & fuere bateado sera saluo. E esto se entiende de los que han entendimiento pora creer; & pora responder por si quando los batearen. Et estos atales ellos deuen responder por si. fueras ende si fuessen mudos o sordos o ouiessen otras enfermedades que los embargassen. Ca estonce los padrinos deuen responder por ellos. Esso mismo es de los ninnos que non pueden responder ni an entendimiento de creer. pero saluan se en la fe de sus padrinos. ¶ E cuemo quier que el baptismo pueda seer dado por otros que non sean de nuestra creencia segund dixiemos en la ley ante desta; non pueden seer padrinos estos atales. E esto es por que non creen en la fe. ni gela sabrien mostrar. ¶ Pero si acaeciesse que moro o otro que non crouiesse nuestra ley. aduxiesse alguno a batear. ol sacasse de la pila. ol touiesse quandol bateassen; ualdrie el babtismo. & saluar sie el bateado. en la fe de sancta eglesia. & en las palabras de ihesu xpisto. mas por todo esso no serie padrino aquel quel assi touiesse. ol sacasse de pila. ¶ Otrossi no puede seer padrino de confirmacion; el que non fuere crismado.
