partida	titulo	ley	rubrica	texto
1	1	7	Ley .vii. qual deue ser el fazedor de las leyes.	¶ El fazedor de las leyes deue amar a dios & tenerle commo ante sus ojos quando las fiziere porque sean derechas & conplidas. E otrosi deue amar iustiçia & pro comanal de todos: & deue ser entendido para saber departir el derecho del tuerto & no deue auer verguença en mudar & emendar sus leyes quando entendiere razon porque lo deue fazer.
1	1	8	Ley .viij. quien ha poder de fazer leyes.	¶ Enperador o rey puede fazer leyes sobre las gentes de su sennorio: & otro ninguno no ha poder tenporal fueras ende si lo fiziese con otorgamiento dellos. & que de otra manera fuesen fechas no han nonbre ni fuerça de leyes.
1	1	9	Ley .ix. como se deuen entender las leyes.	¶ Las leyes se deuen entender bien & derechamente tomando sienpre el verdadero entendimiento dellas a la mas sana parte & mas prouechosa segund las palabras que y fueren puestas. & por esta razon no se deuen escreuir por abreuiaduras mas por palabras conplidas & por ende dixieron los sabios que el saber de las leyes no es tan solamente en aprender & decorar las letras dellas: mas en saber el verdadero entendimiento dellas.
1	1	10	Ley .x. quien puede declarar las leyes si en dubda vinieren.	¶ Declaramiento auiendo menester las leyes por dubda que en ellas acaesçiesen nasçiendo a los onbres sobre ellas muchos entendimientos y departimientos Esta declaraçion no puede por otro ser fecha sy no por aquel que ha poder de las fazer. Cuius est condere eius est interpretari.
1	1	11	Ley .xi. como deuen obedesçer las leyes & iudgarse por ellas.	¶ Todos aquellos que son del sennorio del fazedor de las leyes son tenudos de las obedeçer. Eso mismo dezimos de los otros que fuesen de otro sennorio que fiziesen el pleito o postura o yerro. & avn que sean de otro sennorio no pueden ser escusados de se iudgar por las leyes de aquel sennorio en cuya tierra ouiesen fecho alguna destas cosas E si por auentura ellos fuesen rebeldes que no las quisiesen fazer de su voluntad los iuezes & las iustiçias los deuen costrennir por premia que lo fagan: asi commo las leyes deste nuestro libro mandan. Otrosi dezimos que esta bien al fazedor de las leyes en querer beuir segund las leyes commo quier que por premia no sea tenudo de lo fazer.
1	1	12	Ley .xij. como son todos tenudos de guardar las leyes.	¶ Guardar deue el rey las leyes commo a su onrra & a su fechura porque reçibe poder & razon para fazer iustiçia Ca si el no las guardase vernia contra su fecho & venirle yan ende todos dannos lo vno en desatar tan buena cosa commo esta que ouiesen fecha. lo otro que se tornaria a danno comunal del pueblo & abiltaria asi mismo & seria su mandamiento & sus leyes menos preçiados: & el las deue guardar commo a su vida & a su guarda porque por ellas biuen en paz & reçiben prouecho de lo que ay. & si lo asi no fiziesen mostrarian que no querian obedeçer mandamiento de dios ni del sennor tenporal. & por esto todos son tenudos de las guardar quanto a lo tenporal en qual estado quier que sea & avn tanbien las mugeres commo los onbres. ca los que lo no fiziesen errarian contra el fecho de dios & de los sennores tenporales. & seria a danno de si mismos & de la tierra onde fuesen naturales & moradores & por derecho caerian en tres penas en la de dios: & del sennor natural: & en la del fuero.
1	1	13	Ley .xiij. en que manera deue augmentar con estas leyes las que fizieren nueuas.	¶ Acaesçiendo cosa de que no aya ley porque sea menester de se fazer de nueuo aquel rey que la fiziere deue ayuntar onbres entendidos & sabidores de derecho porque se acuerden con ellos en que manera deue ende fazer ley & fazerla escreuir primero en su libro & desi deue la mandar poner en los otros libros con estas otras en el titulo que fablare en aquella razon sobre que es fecha la ley: & estonçe valga commo las otras leyes: & el que tal ley fiziere deue catarlo de ante & despues: & desque estas dos cosas bien catare entendera luego que es lo de medio.
1	1	14	Ley .xiiii. porque razon los onbres no se pueden escusar del iuyzio de las leyes por dezir que las no saben.	¶ Escusar no se puede ninguno de las penas de las leyes por dezir que las no sabe ca pues que por ellas se ha de mantener reçibiendo derecho & faziendolo razon es que las sepan & que las lean: o por tomar el entendimiento dellas: o por saberlas el mismo bien razonar en otra manera sin leer.
1	1	15	Ley .xv. quales pueden ser escusados por no saber las leyes.	¶ Sennaladas son las personas que se pueden escusar de reçebir la pena que las leyes mandan maguer no las entiendan ni las sepan al tienpo que yerran faziendo contra ellas asi commo aquellos que fuesen locos o desmemoriados. ca estos atales no deuen reçebir pena ninguna por lo que ouiesen fecho enel tienpo de la locura porque eran fuera de seso & de memoria. E eso mismo dezimos del moço que fuese menor de catorze annos & la moça menor de .xij. avnque prouasen o podiesen llegar afecho de luxuria estos que tal cosa fiziesen escusados serian de la pena de las leyes por no auer entendimiento. E si por auentura fuessen menores de .x. annos & medio & fiziesen otro yerro asi commo furto o omezillo o falsedad o otro malefiçio qualquiera seran otrosi escusados de las penas que las leyes mandan por esa misma razon. Otrosy dezimos que los caualleros que han a defender la tierra & conquerirla de los enemigos de la fe por armas deuen ser escusados por no entender las leyes E esto seria si perdiesen o menoscabassen algo de lo suyo andando en iuyzio por razon de posturas o de pleito que ouiesen fecho a danno desi porque ouiesen perdido algo de lo suyo por tienpo: pero esto se entiende seyendo ellos en guerra Eso mismo dezimos de los aldeanos que labran la tierra & de los pastores que guardan los ganados.
1	1	16	Ley .xvi. quales son las virtudes de las leyes.	¶ Las virtudes de las leyes son en çinco maneras. La primera es mandar: la .ij. es vedar: la .iij. consentir: la .iiij. dar pena al que la meresçe: la .v. consejar o mostrar fazer bien & guardarse del contrario. E commo quier que cada vna de las leyes deste nuestro libro no aya todas estas virtudes ayuntadas en si pero quien bien las quisiere leer & entender fallara que alguna dellas es ay puesta segund conuiene a la razon sobre que es fecha la ley.
1	2	0	¶ Titulo .ij. Del vso & de la costunbre & del fuero.	DOs rayzes son aquellas de que naçe el derecho comunal porque seguian & se mantienen las gentes en iustiçia & en concordia & en paz. La primera es ley escripta la .ij. es costunbre antigua que vale tanto commo ley a que dize en latin consuetudo. Onde pues que en el titulo ante deste fablamos de las leyes scriptas queremos dezir del vso & de la costunbre. & primero mostraremos que cosa es vso. & commo deue ser fecho. & porque razones gana tienpo o lo pierde: & otrosi diremos que cosa es costunbre o quantas maneras son della. & quien la puede poner: & qual deue ser & que fuerça da. & commo se puede desatar. & otrosi diremos del fuero que cosa es & commo se puede desatar.
1	2	1	Ley primera. que cosa es vso.	¶ Uso es cosa que nasçe de aquellas cosas que onbre dize & faze continuamente por grand tienpo.
1	2	2	Ley .ij. en que manera deue ser fecho el vso.	¶ Fazerse deue el vso de manera que sea a pro comunal & sin danno: & no deue ser fecho a furto ni escondido: mas en manera que lo sepan & se paguen los que fueren conosçedores de razon & de derecho.
1	2	3	Ley .iij. por quales razones el vso gana tienpo & por quales lo pierde.	¶ Las razones porque el vso gana tienpo son çinco maneras. La primera si se faze de cosa que puede venir bien & no mal asi commo ya diximos. La .ij. que sea fecho paladinamente & con grand consejo. La .iij. que aquellos que del vsan que lo fagan a buen entendimiento & con plazer de aquellos en cuyo poder son o de los otros sobre que ellos han poder. La .iiij. si non va contra los derechos establecidos no seyendo primeramente traydos. La .v. si se faze por mandado del sennor que ha poder sobre ellos. & este tienpo que gana es en dos maneras. La primera en tienpo pequenno no podiendo el vso escusar. La .ij. en tienpo grande segund la bondad del vso & por todas estas razones puede ganar tienpo la materia del vso & si asi no fuese fecho poderse y a perder.
1	2	4	Ley .iiij. que cosa es costunbre: & quantas maneras son della.	¶ Costunbre es fecho que no es escripto el qual ha vsado el pueblo antiguamente guiandose por el en las cosas & en las razones sobre que lo vsaron. E son dos maneras de costunbre. La primera es aquella que llaman en latin specialis: que quiere tanto dezir commo costunbre que es vsada en algund lugar sennalado. & esta deue ser guardada en aquel lugar sennalado & no en otro La .ij. es dicha general: que quiere tanto dezir commo costunbre que es guardada generalmente por todo el reyno.
1	2	5	Ley .v. quien puede poner costunbre & en que manera.	¶ Populus en latin: tanto quiere dezir en romançe commo ayuntamiento grande tan bien de caualleros commo de otros onbres de menor guisa: & tal pueblo commo este o la mayor partida del si vsaren .x. o .xx annos fazer alguna cosa commo en manera de costunbre sabiendolo el sennor de la tierra & no la contradiziendo puedela fazer & deue ser tenida & guardada por costunbre si en este tienpo fueren dados dos iuyzios por ella esto mismo seria quando contra tal costunbre en el tienpo sobredicho alguno porfiase su demanda o su querella o dixiese que no era costunbre & el iudgador ante quien acaesçiese tal contienda no reçibiese tales querellas commo estas o iudgase que era costunbre en todo refusando las razones de aquellos que la querian contradezir & otrosi dezimos que la costunbre que el pueblo quiere poner & vsar della deue ser con razon & no contra derecho natural ni contra pro comunal de toda la tierra & deuenla poner a sabiendas & no por yerro ni por antojo ca si de otra guisa la pusiesen no seria cocostunbre mas corronpimiento de buenas maneras E por ende quando tal fuese no deue ser guardada ni puede aprouecharles ni anpararse por ella los que la vsasen avnque dixiesen que de antiguo tienpo fuera asi vsado porque quando el onbre vsa & faze mal tanto faze mayor yerro contra dios & al rey & a la tierra & contra si mismo.
1	2	6	Ley .vi. que fuerça ha la costunbre para valer.	¶ Fuerça muy grande ha la costunbre quando es puesta con razon asi commo diximos ca las contiendas que los onbres han entre si de que no fablan las leyes escriptas puedense librar por la costunbre que fuese vsada sobre las razones sobre que fue la contienda. E avn ha fuerça de ley. Otrosi dezimos que la costunbre puede interpetrar la ley quando acaesçiese dubda sobre ella que asi commo acostunbraron los otros de la entender asi deue ser entendida & guardada & avn ha otro poderio muy grande que puede tirar las leyes antiguas que fuesen fechas ante que ella pues que el rey de la tierra lo consintiese vsar contra ella tanto tienpo commo sobredicho es o mayor esto se deue entender quando la costunbre fuese vsada generalmente en todo el reyno mas si la costunbre fuese espeçial: estonçe no desataria la ley sino en aquel lugar tan solamente do fuese vsada: & desatase la costunbre en dos maneras avnque sea buena la primera por otra costunbre que sea vsada contra aquella que era primeramente puesta por mandado del sennor & con plazer de los de la tierra entendiendo que era mas su pro que la primera segund el tienpo & la sazon en que la vsasen La .ij. si fuesen despues fechas leyes escriptas o fuero que sean contrarios della. ca estonçe deuen ser guardadas las leyes o el fuero que fueron despues fechas & no la costunbre antigua.
